exp_i,temp_i,dt_xrd,dt_temp,temp_us,temp_ds,temp,t_err,w_a_110,w_a_200,w_a_211,w_a_mean,w_a_std,w_v_110,w_v_200,w_v_211,w_v_mean,w_v_std,w_v_110_jbar,w_v_200_jbar,w_v_211_jbar,w_v_jbar_mean,w_v_jbar_std,p_w,p_w_err,t_err_corrected,kcl_a_110,kcl_a_200,kcl_a_211,kcl_a_mean,kcl_a_std,kcl_v_110,kcl_v_200,kcl_v_211,kcl_v_mean,kcl_v_std,p_kcl_corrected,p_kcl_err_corrected,temp_kcl,temp_kcl_ds,temp_kcl_err,temp_kcl_err_corrected,temp_kcl_us,phase,phase_num
9,6,1900-01-01 11:04:43,1900-01-01 11:04:43,1653.0,1747.0,1700.0,-47.0,3.1250494125390174,3.1244181986492827,3.1243965912628817,3.1246214008170603,0.0003027785168357373,30.51902578086912,30.50053633672638,30.49990354789226,30.50648855516259,0.008868920518288827,0.9189493603540412,0.9183926301690652,0.918373576451606,0.9185718556582376,0.0002670494430533524,18.95,0.02,217.0,3.3614576198663397,3.3559745570405197,3.35526786805851,3.3575666816551237,0.0027663938562630546,37.98244525535525,37.796882350510366,37.77300998590602,37.85077919725722,0.0936106674450316,21.52,1.42,1348.75,1384.0,35.0,377.8793830377625,1313.5,rw,1
10,7,1900-01-01 11:05:33,1900-01-01 11:05:33,1649.0,1766.0,1707.5,-58.5,3.125344220462507,3.1240971356010854,3.124174533344408,3.1245386298026667,0.0005705142920116413,30.52766381972573,30.49113466099072,30.493400919091968,30.504066466602808,0.016711478834451083,0.9192094577876552,0.9181095390912052,0.9181777777187256,0.9184989248658618,0.0005031943973491591,19.0,0.02,229.0,3.3600036974032843,3.3553384010379825,3.354752945535875,3.3566983479923813,0.0023494241255193104,37.93318122675016,37.775392179265545,37.75562193563768,37.821398447217796,0.07945337409769412,21.61,1.42,1354.375,1398.25,44.0,380.7579047521535,1310.5,rw,1
11,8,1900-01-01 11:06:37,1900-01-01 11:06:37,2138.0,2146.0,2142.0,-4.0,3.127378586016848,3.1282576587923394,3.1286181249182583,3.1280847899091486,0.0005205938340710215,30.58731631633934,30.613116872698285,30.623700652340627,30.608044613792753,0.015280724990810353,0.9210056364730494,0.9217825093959622,0.9221011944549902,0.9216297801080008,0.0004601133914587028,19.57,0.08,218.0,3.3854868024454885,3.356031222234316,3.353411241421297,3.3649764220337004,0.01454241734472706,38.802827707465795,37.798796969161884,37.71033995775542,38.103988211461036,0.4954719242627101,22.13,2.17,1680.25,1683.25,3.0,491.3801615093959,1677.25,rw,1
15,14,1900-01-01 11:09:12,1900-01-01 11:09:12,2237.0,2189.0,2213.0,24.0,3.130003958652907,3.1328987047923387,3.13208766679242,3.1316634434125548,0.0012192519318436176,30.664413347727145,30.749570886672693,30.725695922426,30.713226718941947,0.03586606926200521,0.923327082386419,0.9258912358592466,0.9251723438709996,0.9247968873722218,0.0010799526054135714,18.67,0.12,245.0,3.3666821069649635,3.3572414724286936,3.3534267047137813,3.3591167613691466,0.005571591853189797,38.159821320313924,37.83970466390356,37.71086163135588,37.90346253852445,0.18875027683769005,22.82,1.94,1733.5,1715.5,18.0,510.1906236888326,1751.5,wd,0
16,16,1900-01-01 11:09:54,1900-01-01 11:09:54,2324.0,2255.0,2289.5,34.5,3.133062475880648,3.1342952819440963,3.134585343335755,3.133981033720166,0.0006602248511622193,30.754393405130077,30.790711662587064,30.79926097504396,30.781455347587034,0.01945137926607396,0.9260364452864259,0.92713001359686,0.9273874394160894,0.9268512994331249,0.0005856947290161646,18.23,0.14,263.0,3.3645771736842183,3.358131578201459,3.3536311122501514,3.3587799547119435,0.004492167947595154,38.08829065720109,37.869809978547075,37.71775802856864,37.8919528881056,0.15207747708126762,23.06,2.0,1790.875,1765.0,26.0,530.4481343932223,1816.75,wd,0
17,17,1900-01-01 11:10:26,1900-01-01 11:10:26,2474.0,2487.0,2480.5,-6.5,3.130620098722296,3.1298245896015735,3.1350138999168107,3.1318195294135602,0.002281989026312746,30.68252574642139,30.659141854516662,30.81189521134681,30.717854270761624,0.06717874405774245,0.9238724594673936,0.9231683540132176,0.9277678651692712,0.9249362262166274,0.0020227992965603163,19.75,0.18,255.0,3.3686824042068415,3.3577726292211447,3.3533782961926315,3.359944443206873,0.006433843460902877,38.22787913827583,37.85766762221505,37.70922852511745,37.931591761869434,0.2180950839276613,23.49,2.21,1934.125,1939.0,5.0,579.619733774869,1929.25,bdg,2
21,21,1900-01-01 11:13:27,1900-01-01 11:13:27,2550.0,2513.0,2531.5,18.5,3.1265782000869358,3.1285195874827494,3.128783874429005,3.127960553999564,0.0009834085798241935,30.563837810060754,30.620807215908002,30.62856810382956,30.604404376599444,0.02885934378886555,0.9202986821134412,0.9220140710462,0.922247756847395,0.9215201700023457,0.0008689751666857045,21.26,0.14,272.0,3.3514324236857815,3.3396038547880136,3.338148352428063,3.3430615436339526,0.005948856832004547,37.643621748348174,37.24644785980624,37.197769629250224,37.36261307913488,0.19969442766768505,25.07,2.26,1972.375,1958.5,14.0,593.0593537170205,1986.25,bdg,2
26,26,1900-01-01 11:15:39,1900-01-01 11:15:39,2674.0,2665.0,2669.5,4.5,3.1211711335109142,3.1289923527213537,3.1254734975118983,3.1252123279147224,0.003198335468469527,30.40554168549484,30.63469107426941,30.531452224399057,30.523894994721108,0.09370234569900628,0.9155322743171757,0.9224321237996552,0.9193235293204852,0.9190959758124388,0.002821443622153622,22.77,0.19,271.0,3.3365855485033546,3.3267339736696404,3.324716612149954,3.3293453781076496,0.005185395349402967,37.14555001280458,36.81749360964797,36.75055483665726,36.90453281970327,0.1726019802130564,26.69,2.38,2075.875,2072.5,3.0,628.8817144592853,2079.25,bdg,2
37,37,1900-01-01 11:20:45,1900-01-01 11:20:45,2745.0,2716.0,2730.5,14.5,3.110683203231277,3.109958501366197,3.1104755334783625,3.110372412691946,0.0003047114709100842,30.100059385171505,30.079026879259445,30.09403133198813,30.091039198806357,0.008843310917237609,0.906333987107838,0.9057006835419472,0.9061524781810194,0.9060623829436016,0.0002662783199292088,28.23,0.05,288.0,3.294016547334658,3.2980187886921057,3.3012688577367943,3.297768064587853,0.002966046580278596,35.741874824092875,35.872312678257096,35.9784695233035,35.864219008551146,0.0967587844095593,29.94,2.41,2121.625,2110.75,11.0,644.874167594927,2132.5,bdg,2
38,38,1900-01-01 11:21:06,1900-01-01 11:21:06,2759.0,2722.0,2740.5,18.5,3.107889867387691,3.1096225110269113,3.1077282086504656,3.1084135290216888,0.0008574230785878949,30.019044293000217,30.069278996161998,30.014360161404987,30.034227816855736,0.024858588727309932,0.9038945656248464,0.9054071679165956,0.9037535231235504,0.904351752221664,0.0007485096141104428,28.99,0.04,293.0,3.293188756209662,3.311195370166817,3.2914167045977942,3.2986002769914244,0.008935409738838542,35.71493564049085,36.303994976036726,35.65731246915678,35.892081028561456,0.2922155968483424,29.88,2.57,2129.125,2115.25,14.0,647.539283195429,2143.0,bdg,2
40,40,1900-01-01 11:21:42,1900-01-01 11:21:43,2772.0,2733.0,2752.5,19.5,3.1049689132958336,3.104842967636392,3.1055813240822823,3.105131068338169,0.0003225040088776415,29.934483510925716,29.93084099586616,29.952199453117174,29.939174653303017,0.009329202775477531,0.9013483809216928,0.9012387022278808,0.90188182041815,0.9014896345225748,0.00028090886598723804,30.24,0.01,295.0,3.2852493853494984,3.29708987946959,3.290881616764678,3.2910736271945886,0.00483576786428506,35.45724825818248,35.84201017876116,35.639924796191835,35.64639441104516,0.1571449984761643,30.7,2.46,2138.125,2123.5,15.0,650.6899613343132,2152.75,bdg,2
41,41,1900-01-01 11:22:03,1900-01-01 11:22:03,2843.0,2813.0,2828.0,15.0,3.1050907072264886,3.1049203151519538,3.104068922664814,3.104693315014419,0.0004469584018301901,29.938006233557502,29.933077953310317,29.908461079816576,29.926515088894785,0.012923684185660613,0.9014544525811364,0.90130605859198,0.9005648271937888,0.9011084461223016,0.0003891412327871109,30.73,0.02,298.0,3.2809715612471746,3.288023096187359,3.2905633668165155,3.286519341417016,0.004057638256178427,35.31891862276547,35.547132952026246,35.62958594901674,35.49854584126949,0.13140034855051952,31.4,2.52,2194.75,2183.5,11.0,670.2953364935489,2206.0,bdg,2
44,44,1900-01-01 11:23:16,1900-01-01 11:23:16,2901.0,2834.0,2867.5,33.5,3.1002419484326618,3.10468206105691,3.10181893760156,3.1022476490303768,0.0018378420581216988,29.797975917740914,29.926187794679823,29.843470746437173,29.85587815295264,0.05307246083974762,0.8972380411506482,0.9010985910629806,0.8986079224840179,0.8989815182325489,0.0015980491740228786,31.81,0.01,320.0,3.272040897713969,3.297877495483957,3.2796519275129308,3.2831901069036187,0.010840402241385454,35.031293215232715,35.86770236765061,35.27631908298302,35.391771555288784,0.35108595584105295,31.86,2.78,2224.375,2199.25,25.0,680.9649088104687,2249.5,bdg,2
52,52,1900-01-01 11:27:03,1900-01-01 11:27:03,2968.0,3162.0,3065.0,-97.0,3.0979684501667544,3.0972628182268465,3.0970816725283377,3.0974376469739795,0.0003825506181035736,29.73246879283387,29.712156706098305,29.706943798845305,29.717189765925827,0.01101151209567112,0.8952655754840115,0.8946539642469059,0.8944969999381455,0.8948055132230209,0.0003315643844433773,34.48,0.01,404.0,3.25280135764172,3.264696139015668,3.2539762349095613,3.2571579105223165,0.005351868879939844,34.41696955640116,34.79591784997385,34.45427615839231,34.55572118825577,0.1705261912696758,35.38,2.8,2372.5,2445.25,73.0,735.6444878472211,2299.75,bdg,2
